Deployment.Location.ID,Species,Species_Label,Week_Label,Week_Start,Bear_Detections,Effort,log_effort,mean_ndvi,mean_ndvi_scaled,elevation,elevation_scaled,canopy,canopy_scaled,dist_trail,prox_trail,prox_trail_scaled,rec_week,rec_week_scaled,season,trail_status
BLT30,Ursus americanus,Black bear,2023-W28,2023-07-12,0,5,1.609437912,0.4245,0.215930462,1826,0.547553769,23.83,-0.185448986,429.5494173,0.423543593,-1.927201495,60,0.738238707,after,NA
BLT31,Ursus americanus,Black bear,2023-W28,2023-07-12,0,7,1.945910149,0.0423,-1.095660109,1650,0.16173313,87.46,1.48199186,0,1,0.692933393,285.7142857,1.264699785,after,closed
BLT33,Ursus americanus,Black bear,2023-W28,2023-07-12,0,6,1.791759469,0.4929,0.450657817,1664,0.192423408,0,-0.809920389,0,1,0.692933393,166.6666667,1.082192356,after,closed
BLT36,Ursus americanus,Black bear,2023-W28,2023-07-12,0,6,1.791759469,0.1964,-0.566837223,1730,0.337106148,0,-0.809920389,0,1,0.692933393,133.3333333,1.006791046,after,closed
BLT43,Ursus americanus,Black bear,2023-W28,2023-07-12,0,6,1.791759469,0.0402,-1.10286665,2174,1.310426397,0,-0.809920389,191.9369272,0.681217354,-0.756011439,83.33333333,0.848422953,after,NA
BLT45,Ursus americanus,Black bear,2023-W28,2023-07-12,0,6,1.791759469,0.0667,-1.011926959,2415,1.838737614,0,-0.809920389,667.4781368,0.263169683,-2.656140012,100,0.90977148,after,NA
BLT04,Ursus americanus,Black bear,2023-W28,2023-07-12,0,7,1.945910149,0.3927,0.106802832,969,-1.331129686,95.18,1.684296486,0,1,0.692933393,11057.14286,2.507172093,after,open
BLT34,Ursus americanus,Black bear,2023-W28,2023-07-12,0,7,1.945910149,0.1027,-0.888386245,1661,0.18584692,0,-0.809920389,0,1,0.692933393,114.2857143,0.954774428,after,closed
BLT14,Ursus arctos,Grizzly bear,2023-W28,2023-07-12,0,4,1.386294361,0.3029,-0.201362613,1115,-1.011073928,38.37,0.195575529,26.7583801,0.947890054,0.456080986,125,0.985005349,after,NA
BLT27,Ursus arctos,Grizzly bear,2023-W28,2023-07-12,0,7,1.945910149,0.364,0.00831343,1648,0.157348804,0,-0.809920389,104.358897,0.811624249,-0.163280317,57.14285714,0.721920167,after,NA
BLT42,Ursus arctos,Grizzly bear,2023-W28,2023-07-12,0,6,1.791759469,0.0688,-1.004720417,2208,1.38495993,0,-0.809920389,0,1,0.692933393,133.3333333,1.006791046,after,closed
BLT18,Ursus arctos,Grizzly bear,2023-W28,2023-07-12,0,5,1.609437912,0.0638,-1.021878849,1828,0.551938095,0,-0.809920389,284.8342121,0.565712984,-1.281006956,80,0.834704307,after,NA
BLT05,Ursus arctos,Grizzly bear,2023-W28,2023-07-12,0,7,1.945910149,0.9273,1.941382421,1072,-1.105336925,90.05,1.54986349,216.3632622,0.648737882,-0.90363856,0,-0.66018326,after,NA
BLT22,Ursus arctos,Grizzly bear,2023-W28,2023-07-12,0,5,1.609437912,0.1678,-0.664983456,1661,0.18584692,0,-0.809920389,0,1,0.692933393,120,0.971231147,after,closed
BLT09,Ursus arctos,Grizzly bear,2023-W28,2023-07-12,0,7,1.945910149,0.3718,0.035080585,1082,-1.083415298,89.18,1.527064912,168.2628298,0.714247556,-0.605881121,0,-0.66018326,after,NA
BLT17,Ursus arctos,Grizzly bear,2023-W28,2023-07-12,0,4,1.386294361,0.2104,-0.518793612,1286,-0.636214102,23.83,-0.185448986,0,1,0.692933393,125,0.985005349,after,closed
BLT29,Ursus arctos,Grizzly bear,2023-W28,2023-07-12,0,7,1.945910149,0.5114,0.514144017,2098,1.14382203,0,-0.809920389,0,1,0.692933393,57.14285714,0.721920167,after,closed
BLT10,Ursus arctos,Grizzly bear,2023-W28,2023-07-12,0,3,1.098612289,0.2561,-0.36196554,994,-1.276325618,12.56,-0.480782293,0,1,0.692933393,233.3333333,1.19607207,after,open
BLT03,Ursus arctos,Grizzly bear,2023-W28,2023-07-12,0,7,1.945910149,0.3935,0.109548181,916,-1.44731431,97.74,1.751381958,0,1,0.692933393,6857.142857,2.344659527,after,open
BLT07,Ursus arctos,Grizzly bear,2023-W28,2023-07-12,0,7,1.945910149,0.1311,-0.79092635,987,-1.291670757,88.64,1.51291407,0,1,0.692933393,6485.714286,2.32571832,after,open
BLT06,Ursus arctos,Grizzly bear,2023-W28,2023-07-12,0,7,1.945910149,0.3164,-0.155034846,990,-1.285094269,23.83,-0.185448986,223.5797458,0.639441915,-0.945890996,0,-0.66018326,after,NA
BLT12,Ursus arctos,Grizzly bear,2023-W28,2023-07-12,0,3,1.098612289,0.2648,-0.332109868,1070,-1.109721251,26.12,-0.125438935,68.86518512,0.871333598,0.10811323,133.3333333,1.006791046,after,NA
BLT19,Ursus arctos,Grizzly bear,2023-W28,2023-07-12,0,5,1.609437912,0.4019,0.138374348,1579,0.006089576,87.46,1.48199186,0,1,0.692933393,140,1.023267696,after,closed
BLT32,Ursus arctos,Grizzly bear,2023-W28,2023-07-12,0,7,1.945910149,0.4082,0.159993973,2195,1.356461814,0,-0.809920389,418.0561481,0.433392153,-1.882437391,28.57142857,0.491928861,after,NA
BLT35,Ursus arctos,Grizzly bear,2023-W28,2023-07-12,0,6,1.791759469,0.1591,-0.694839128,1683,0.234074499,0,-0.809920389,118.039547,0.78971821,-0.262848604,100,0.90977148,after,NA
BLT37,Ursus arctos,Grizzly bear,2023-W28,2023-07-12,0,6,1.791759469,0.1306,-0.792642193,1900,0.709773811,0,-0.809920389,55.2384562,0.895407003,0.217532725,83.33333333,0.848422953,after,NA
BLT08,Ursus arctos,Grizzly bear,2023-W28,2023-07-12,0,7,1.945910149,0.4145,0.181613597,1073,-1.103144763,77.53,1.221773605,259.0303361,0.595674637,-1.144823942,0,-0.66018326,after,NA
BLT24,Ursus arctos,Grizzly bear,2023-W28,2023-07-12,0,5,1.609437912,0.2746,-0.29847934,2063,1.067096335,0,-0.809920389,566.6766482,0.321951844,-2.388960758,40,0.603086041,after,NA
BLT28,Ursus arctos,Grizzly bear,2023-W28,2023-07-12,0,7,1.945910149,0.6831,1.103364584,1960,0.841303574,78.52,1.247716814,0,1,0.692933393,71.42857143,0.796656163,after,closed
BLT38,Ursus arctos,Grizzly bear,2023-W28,2023-07-12,0,6,1.791759469,0.0528,-1.059627401,2083,1.110939589,0,-0.809920389,147.6060204,0.744373733,-0.468950303,16.66666667,0.316694164,after,NA
BLT40,Ursus arctos,Grizzly bear,2023-W28,2023-07-12,0,6,1.791759469,0.4208,0.203233222,2090,1.126284728,0,-0.809920389,0,1,0.692933393,116.6666667,0.961728397,after,closed
BLT02,Ursus arctos,Grizzly bear,2023-W28,2023-07-12,0,7,1.945910149,0.6432,0.966440294,974,-1.320168872,90.05,1.54986349,337.1061606,0.50955763,-1.536246729,0,-0.66018326,after,NA
BLT44,Ursus arctos,Grizzly bear,2023-W28,2023-07-12,0,6,1.791759469,0.033,-1.127574793,2431,1.873812217,0,-0.809920389,0,1,0.692933393,100,0.90977148,after,closed
BLT20,Ursus arctos,Grizzly bear,2023-W28,2023-07-12,0,5,1.609437912,0.0527,-1.059970569,1651,0.163925292,0,-0.809920389,0,1,0.692933393,120,0.971231147,after,closed
BLT01,Ursus arctos,Grizzly bear,2023-W28,2023-07-12,0,7,1.945910149,0.7717,1.407412006,842,-1.609534352,90.97,1.573972331,0,1,0.692933393,12600,2.551602219,after,open
BLT16,Ursus arctos,Grizzly bear,2023-W28,2023-07-12,0,4,1.386294361,0.5027,0.484288344,1138,-0.960654185,23.78,-0.186759249,176.4664684,0.702624312,-0.658711598,50,0.677330737,after,closed
BLT21,Ursus arctos,Grizzly bear,2023-W28,2023-07-12,0,5,1.609437912,0.0555,-1.050361847,1647,0.155156641,0,-0.809920389,0,1,0.692933393,100,0.90977148,after,closed
BLT23,Ursus arctos,Grizzly bear,2023-W28,2023-07-12,0,5,1.609437912,0.0405,-1.101837144,1875,0.654969743,0,-0.809920389,0,1,0.692933393,80,0.834704307,after,closed
BLT25,Ursus arctos,Grizzly bear,2023-W28,2023-07-12,0,5,1.609437912,0.3996,0.130481469,1663,0.190231245,49.92,0.49824631,0,1,0.692933393,120,0.971231147,after,closed
BLT26,Ursus arctos,Grizzly bear,2023-W28,2023-07-12,0,7,1.945910149,0.5213,0.548117713,1762,0.407255355,0,-0.809920389,0,1,0.692933393,71.42857143,0.796656163,after,closed
BLT30,Ursus arctos,Grizzly bear,2023-W28,2023-07-12,0,5,1.609437912,0.4245,0.215930462,1826,0.547553769,23.83,-0.185448986,429.5494173,0.423543593,-1.927201495,60,0.738238707,after,NA
BLT31,Ursus arctos,Grizzly bear,2023-W28,2023-07-12,0,7,1.945910149,0.0423,-1.095660109,1650,0.16173313,87.46,1.48199186,0,1,0.692933393,285.7142857,1.264699785,after,closed
BLT33,Ursus arctos,Grizzly bear,2023-W28,2023-07-12,0,6,1.791759469,0.4929,0.450657817,1664,0.192423408,0,-0.809920389,0,1,0.692933393,166.6666667,1.082192356,after,closed
BLT36,Ursus arctos,Grizzly bear,2023-W28,2023-07-12,0,6,1.791759469,0.1964,-0.566837223,1730,0.337106148,0,-0.809920389,0,1,0.692933393,133.3333333,1.006791046,after,closed
BLT43,Ursus arctos,Grizzly bear,2023-W28,2023-07-12,0,6,1.791759469,0.0402,-1.10286665,2174,1.310426397,0,-0.809920389,191.9369272,0.681217354,-0.756011439,83.33333333,0.848422953,after,NA
BLT45,Ursus arctos,Grizzly bear,2023-W28,2023-07-12,0,6,1.791759469,0.0667,-1.011926959,2415,1.838737614,0,-0.809920389,667.4781368,0.263169683,-2.656140012,100,0.90977148,after,NA
BLT04,Ursus arctos,Grizzly bear,2023-W28,2023-07-12,0,7,1.945910149,0.3927,0.106802832,969,-1.331129686,95.18,1.684296486,0,1,0.692933393,11057.14286,2.507172093,after,open
BLT34,Ursus arctos,Grizzly bear,2023-W28,2023-07-12,0,7,1.945910149,0.1027,-0.888386245,1661,0.18584692,0,-0.809920389,0,1,0.692933393,114.2857143,0.954774428,after,closed
BLT14,Ursus americanus,Black bear,2023-W29,2023-07-19,0,7,1.945910149,0.7328,1.273919402,1115,-1.011073928,38.37,0.195575529,26.7583801,0.947890054,0.456080986,0,-0.66018326,after,NA
BLT27,Ursus americanus,Black bear,2023-W29,2023-07-19,0,7,1.945910149,0.4572,0.32814661,1648,0.157348804,0,-0.809920389,104.358897,0.811624249,-0.163280317,0,-0.66018326,after,NA
BLT42,Ursus americanus,Black bear,2023-W29,2023-07-19,0,7,1.945910149,0.5183,0.537822653,2208,1.38495993,0,-0.809920389,0,1,0.692933393,0,-0.66018326,after,closed
BLT18,Ursus americanus,Black bear,2023-W29,2023-07-19,0,7,1.945910149,0.3643,0.009342936,1828,0.551938095,0,-0.809920389,284.8342121,0.565712984,-1.281006956,0,-0.66018326,after,NA
BLT05,Ursus americanus,Black bear,2023-W29,2023-07-19,0,7,1.945910149,0.8185,1.568014933,1072,-1.105336925,90.05,1.54986349,216.3632622,0.648737882,-0.90363856,0,-0.66018326,after,NA
BLT22,Ursus americanus,Black bear,2023-W29,2023-07-19,0,7,1.945910149,-0.3,-2.270326389,1661,0.18584692,0,-0.809920389,0,1,0.692933393,28.57142857,0.491928861,after,closed
BLT09,Ursus americanus,Black bear,2023-W29,2023-07-19,0,7,1.945910149,0.6957,1.146603834,1082,-1.083415298,89.18,1.527064912,168.2628298,0.714247556,-0.605881121,0,-0.66018326,after,NA
BLT17,Ursus americanus,Black bear,2023-W29,2023-07-19,0,7,1.945910149,0.5576,0.672687932,1286,-0.636214102,23.83,-0.185448986,0,1,0.692933393,28.57142857,0.491928861,after,closed
BLT29,Ursus americanus,Black bear,2023-W29,2023-07-19,0,7,1.945910149,0.5217,0.549490387,2098,1.14382203,0,-0.809920389,0,1,0.692933393,0,-0.66018326,after,closed
BLT10,Ursus americanus,Black bear,2023-W29,2023-07-19,0,7,1.945910149,0.3067,-0.188322205,994,-1.276325618,12.56,-0.480782293,0,1,0.692933393,128.5714286,0.994513412,after,open
BLT03,Ursus americanus,Black bear,2023-W29,2023-07-19,0,7,1.945910149,0.7983,1.498694866,916,-1.44731431,97.74,1.751381958,0,1,0.692933393,8928.571429,2.434442848,after,open
BLT07,Ursus americanus,Black bear,2023-W29,2023-07-19,0,7,1.945910149,0.1926,-0.579877631,987,-1.291670757,88.64,1.51291407,0,1,0.692933393,7600,2.379644326,after,open
BLT06,Ursus americanus,Black bear,2023-W29,2023-07-19,0,7,1.945910149,0.7149,1.212492214,990,-1.285094269,23.83,-0.185448986,223.5797458,0.639441915,-0.945890996,0,-0.66018326,after,NA
BLT12,Ursus americanus,Black bear,2023-W29,2023-07-19,1,7,1.945910149,0.7187,1.225532623,1070,-1.109721251,26.12,-0.125438935,68.86518512,0.871333598,0.10811323,0,-0.66018326,after,NA
BLT19,Ursus americanus,Black bear,2023-W29,2023-07-19,0,7,1.945910149,0.7651,1.384762875,1579,0.006089576,87.46,1.48199186,0,1,0.692933393,28.57142857,0.491928861,after,closed
BLT32,Ursus americanus,Black bear,2023-W29,2023-07-19,0,7,1.945910149,0.3012,-0.20719648,2195,1.356461814,0,-0.809920389,418.0561481,0.433392153,-1.882437391,0,-0.66018326,after,NA
BLT35,Ursus americanus,Black bear,2023-W29,2023-07-19,0,7,1.945910149,0.2131,-0.509528059,1683,0.234074499,0,-0.809920389,118.039547,0.78971821,-0.262848604,0,-0.66018326,after,NA
BLT37,Ursus americanus,Black bear,2023-W29,2023-07-19,0,7,1.945910149,0.1181,-0.835538274,1900,0.709773811,0,-0.809920389,55.2384562,0.895407003,0.217532725,0,-0.66018326,after,NA
BLT08,Ursus americanus,Black bear,2023-W29,2023-07-19,0,7,1.945910149,0.7731,1.412216367,1073,-1.103144763,77.53,1.221773605,259.0303361,0.595674637,-1.144823942,0,-0.66018326,after,NA
BLT24,Ursus americanus,Black bear,2023-W29,2023-07-19,0,7,1.945910149,0.1875,-0.597379232,2063,1.067096335,0,-0.809920389,566.6766482,0.321951844,-2.388960758,0,-0.66018326,after,NA
BLT28,Ursus americanus,Black bear,2023-W29,2023-07-19,0,7,1.945910149,0.7746,1.417363897,1960,0.841303574,78.52,1.247716814,0,1,0.692933393,0,-0.66018326,after,closed
BLT38,Ursus americanus,Black bear,2023-W29,2023-07-19,0,7,1.945910149,0.2961,-0.224698081,2083,1.110939589,0,-0.809920389,147.6060204,0.744373733,-0.468950303,0,-0.66018326,after,NA
BLT40,Ursus americanus,Black bear,2023-W29,2023-07-19,0,7,1.945910149,0.4273,0.225539184,2090,1.126284728,0,-0.809920389,0,1,0.692933393,0,-0.66018326,after,closed
BLT02,Ursus americanus,Black bear,2023-W29,2023-07-19,0,7,1.945910149,0.8373,1.632530639,974,-1.320168872,90.05,1.54986349,337.1061606,0.50955763,-1.536246729,0,-0.66018326,after,NA
BLT44,Ursus americanus,Black bear,2023-W29,2023-07-19,0,7,1.945910149,0.1592,-0.69449596,2431,1.873812217,0,-0.809920389,0,1,0.692933393,0,-0.66018326,after,closed
BLT20,Ursus americanus,Black bear,2023-W29,2023-07-19,0,7,1.945910149,0.6159,0.872755253,1651,0.163925292,0,-0.809920389,0,1,0.692933393,28.57142857,0.491928861,after,closed
BLT01,Ursus americanus,Black bear,2023-W29,2023-07-19,0,7,1.945910149,0.7696,1.400205464,842,-1.609534352,90.97,1.573972331,0,1,0.692933393,14514.28571,2.599712032,after,open
BLT16,Ursus americanus,Black bear,2023-W29,2023-07-19,0,7,1.945910149,0.7755,1.420452415,1138,-0.960654185,23.78,-0.186759249,176.4664684,0.702624312,-0.658711598,0,-0.66018326,after,closed
BLT21,Ursus americanus,Black bear,2023-W29,2023-07-19,0,7,1.945910149,0.2665,-0.326276001,1647,0.155156641,0,-0.809920389,0,1,0.692933393,14.28571429,0.267449919,after,closed
BLT23,Ursus americanus,Black bear,2023-W29,2023-07-19,0,7,1.945910149,0.1038,-0.88461139,1875,0.654969743,0,-0.809920389,0,1,0.692933393,0,-0.66018326,after,closed
BLT25,Ursus americanus,Black bear,2023-W29,2023-07-19,1,7,1.945910149,0.6201,0.887168336,1663,0.190231245,49.92,0.49824631,0,1,0.692933393,14.28571429,0.267449919,after,closed
BLT26,Ursus americanus,Black bear,2023-W29,2023-07-19,0,7,1.945910149,0.5193,0.54125434,1762,0.407255355,0,-0.809920389,0,1,0.692933393,0,-0.66018326,after,closed
BLT30,Ursus americanus,Black bear,2023-W29,2023-07-19,0,7,1.945910149,0.7673,1.392312585,1826,0.547553769,23.83,-0.185448986,429.5494173,0.423543593,-1.927201495,0,-0.66018326,after,NA
BLT31,Ursus americanus,Black bear,2023-W29,2023-07-19,0,7,1.945910149,0.6555,1.008650038,1650,0.16173313,87.46,1.48199186,0,1,0.692933393,42.85714286,0.6260022,after,closed
BLT33,Ursus americanus,Black bear,2023-W29,2023-07-19,0,7,1.945910149,0.5326,0.58689577,1664,0.192423408,0,-0.809920389,0,1,0.692933393,0,-0.66018326,after,closed
BLT36,Ursus americanus,Black bear,2023-W29,2023-07-19,0,7,1.945910149,0.174,-0.643707,1730,0.337106148,0,-0.809920389,0,1,0.692933393,0,-0.66018326,after,closed
BLT43,Ursus americanus,Black bear,2023-W29,2023-07-19,0,7,1.945910149,0.3763,0.050523174,2174,1.310426397,0,-0.809920389,191.9369272,0.681217354,-0.756011439,0,-0.66018326,after,NA
BLT45,Ursus americanus,Black bear,2023-W29,2023-07-19,0,7,1.945910149,0.112,-0.856471561,2415,1.838737614,0,-0.809920389,667.4781368,0.263169683,-2.656140012,0,-0.66018326,after,NA
BLT04,Ursus americanus,Black bear,2023-W29,2023-07-19,0,7,1.945910149,0.7994,1.502469721,969,-1.331129686,95.18,1.684296486,0,1,0.692933393,12628.57143,2.55237266,after,open
BLT34,Ursus americanus,Black bear,2023-W29,2023-07-19,0,7,1.945910149,0.66,1.024092627,1661,0.18584692,0,-0.809920389,0,1,0.692933393,28.57142857,0.491928861,after,closed
BLT14,Ursus arctos,Grizzly bear,2023-W29,2023-07-19,0,7,1.945910149,0.7328,1.273919402,1115,-1.011073928,38.37,0.195575529,26.7583801,0.947890054,0.456080986,0,-0.66018326,after,NA
BLT27,Ursus arctos,Grizzly bear,2023-W29,2023-07-19,0,7,1.945910149,0.4572,0.32814661,1648,0.157348804,0,-0.809920389,104.358897,0.811624249,-0.163280317,0,-0.66018326,after,NA
BLT42,Ursus arctos,Grizzly bear,2023-W29,2023-07-19,0,7,1.945910149,0.5183,0.537822653,2208,1.38495993,0,-0.809920389,0,1,0.692933393,0,-0.66018326,after,closed
BLT18,Ursus arctos,Grizzly bear,2023-W29,2023-07-19,0,7,1.945910149,0.3643,0.009342936,1828,0.551938095,0,-0.809920389,284.8342121,0.565712984,-1.281006956,0,-0.66018326,after,NA
BLT05,Ursus arctos,Grizzly bear,2023-W29,2023-07-19,0,7,1.945910149,0.8185,1.568014933,1072,-1.105336925,90.05,1.54986349,216.3632622,0.648737882,-0.90363856,0,-0.66018326,after,NA
BLT22,Ursus arctos,Grizzly bear,2023-W29,2023-07-19,0,7,1.945910149,-0.3,-2.270326389,1661,0.18584692,0,-0.809920389,0,1,0.692933393,28.57142857,0.491928861,after,closed
BLT09,Ursus arctos,Grizzly bear,2023-W29,2023-07-19,0,7,1.945910149,0.6957,1.146603834,1082,-1.083415298,89.18,1.527064912,168.2628298,0.714247556,-0.605881121,0,-0.66018326,after,NA
BLT17,Ursus arctos,Grizzly bear,2023-W29,2023-07-19,0,7,1.945910149,0.5576,0.672687932,1286,-0.636214102,23.83,-0.185448986,0,1,0.692933393,28.57142857,0.491928861,after,closed
BLT29,Ursus arctos,Grizzly bear,2023-W29,2023-07-19,1,7,1.945910149,0.5217,0.549490387,2098,1.14382203,0,-0.809920389,0,1,0.692933393,0,-0.66018326,after,closed
BLT10,Ursus arctos,Grizzly bear,2023-W29,2023-07-19,0,7,1.945910149,0.3067,-0.188322205,994,-1.276325618,12.56,-0.480782293,0,1,0.692933393,128.5714286,0.994513412,after,open
BLT03,Ursus arctos,Grizzly bear,2023-W29,2023-07-19,0,7,1.945910149,0.7983,1.498694866,916,-1.44731431,97.74,1.751381958,0,1,0.692933393,8928.571429,2.434442848,after,open
BLT07,Ursus arctos,Grizzly bear,2023-W29,2023-07-19,0,7,1.945910149,0.1926,-0.579877631,987,-1.291670757,88.64,1.51291407,0,1,0.692933393,7600,2.379644326,after,open
BLT06,Ursus arctos,Grizzly bear,2023-W29,2023-07-19,0,7,1.945910149,0.7149,1.212492214,990,-1.285094269,23.83,-0.185448986,223.5797458,0.639441915,-0.945890996,0,-0.66018326,after,NA
BLT12,Ursus arctos,Grizzly bear,2023-W29,2023-07-19,0,7,1.945910149,0.7187,1.225532623,1070,-1.109721251,26.12,-0.125438935,68.86518512,0.871333598,0.10811323,0,-0.66018326,after,NA
BLT19,Ursus arctos,Grizzly bear,2023-W29,2023-07-19,0,7,1.945910149,0.7651,1.384762875,1579,0.006089576,87.46,1.48199186,0,1,0.692933393,28.57142857,0.491928861,after,closed
