station_tbl_id,station_id,project_id,latitude,longitude,site_location,site_comments
857,BLT23,BLT,53.1506,-119.175,On-trail - Phase 3. Area: Hargreaves Lake Loop. Habitat type: Forest. Elevation: 1897m. Height: 159cm. Bearing: N.,Python. Deployed 14-07-2023 12:44.
860,BLT26,BLT,53.1579,-119.159,On-trail- Phase 3. Area: Toboggan Falls. Habitat type: Forest. Elevation: 1764m. Height: 145cm. Bearing: N.,Python. Deployed 12-07-2023 19:45.
864,BLT30,BLT,53.1653,-119.144,Off-trail. Area: near Mumm Basin Trail/Robson Pass. Habitat type: Forest. Elevation: 1827m. Height: 36cm. Bearing: S.,Strap. Deployed 14-07-2023 12:10.
867,BLT33,BLT,53.1587,-119.127,On-trail- Phase 3. Area: Snowbird Pass Trail near river. Habitat type: open floodplain. Elevation: 1671m. Height: 69cm. Bearing: N.,"Strap. Deployed 13-07-2023 9:18,"
870,BLT36,BLT,53.1515,-119.108,On-trail- Phase 3. Area: Snowbird Pass trail. Habitat type: alpine glacial. Elevation: 1728m. Height: 61cm. Bearing: S.,Alpine stand. Deployed 13-07-2023 12:00. Facing glacier.
875,BLT43,BLT,53.1352,-119.067,Off-trail. Area: Snowbird Pass Trail near meadow with strong goat trail. Habitat type: alpine. Elevation: 2182m. Height: 56cm. Bearing: NE.,Alpine stand. Deployed 13-07-2023.
877,BLT45,BLT,53.1466,-119.066,Off-trail. Area: alpine area off of Snowbird Pass trail with goat trail and pellets. Habitat type: alpine. Elevation: 2419m. Height: 46cm. Bearing: NE.,Alpine stand. 13-07-2023 13:00. Long hike up hill.
865,BLT31,BLT,53.1574,-119.149,On-trail - Phase 3. Area: near Berg Lake. Habitat type: Forest. Elevation: 1642m. Height: 139cm. Bearing: N.,"Python. Deployed 12-07-2023 17:47.
July 2025: silver screws changed to black "
859,BLT25,BLT,53.1522,-119.16,On-trail- Phase 3. Area: BLT next to Berg Lake. Habitat type: Forest. Elevation:1656m. Height: 86cm. Bearing: NW.,"Python. Deployed 14-07-2023 16:15.
July 2025: Silver screws changed to black"
836,BLT01,BLT,53.0525,-119.214,On-trail- Phase 1. Area: near BLT trailhead. Habitat type: Forest. Elevation: 856m. Height: 56cm. Bearing: W.,"Lockbox + Python. Deployed 11-07-2023 9:42.
July 2025: silver screws changed to black "
839,BLT04,BLT,53.0665,-119.192,"On-trail- Phase 1. Area: BLT KM 3, near river. Habitat type: Forest. Elevation: 975m. Height: 200cm. Bearing: N.","Python. Deployed 11-07-2023 12:00.
July 2025: Lock box added"
868,BLT34,BLT,53.166,-119.129,On-trail - Phase 3. Area: Robson Pass. Habitat type: Meadow/Forest. Elevation: 1646m. Height: 142cm. Bearing: N.,"Python. Deployed 12-07-2023 16:57. Deployed with ARU01.
July 2025: silver screws changed to black ones"
